date,ticker,side,ret,type
2019-03-29,HIBB,long,0.2032492056531019,rebalance_exit
2019-03-29,FDP,long,-0.20749116715625204,rebalance_exit
2019-03-29,IPHS,long,-0.31276323922367455,rebalance_exit
2019-03-29,DBD_old,long,1.3703241706174043,rebalance_exit
2019-03-29,EVRI,long,0.13024748161166522,rebalance_exit
2019-03-29,AIW,long,0.05034957644214555,rebalance_exit
2019-03-29,INSY,long,0.2935704004960229,rebalance_exit
2019-03-29,FSNN,long,-0.22155548060881747,rebalance_exit
2019-03-29,HEES,long,0.2416500674633144,rebalance_exit
2019-03-29,BIG,long,0.3022527930151031,rebalance_exit
2019-03-29,PDCE,long,0.3246543488667535,rebalance_exit
2019-06-28,SFS,long,-0.28571431565696315,rebalance_exit
2019-06-28,TLRDQ,long,-0.7723096438365868,rebalance_exit
2019-06-28,SUP,long,-0.7303240921668139,rebalance_exit
2019-06-28,VSI,long,-0.09425284055189898,rebalance_exit
2019-06-28,SSUP,long,-0.7303240921668139,rebalance_exit
2019-06-28,PTSI,long,0.692927050689677,rebalance_exit
2019-06-28,TLRD,long,-0.7590325419160338,rebalance_exit
2019-06-28,INAP,long,-0.41148115387412465,rebalance_exit
2019-06-28,BKS,long,0.25982693844253535,rebalance_exit
2019-06-28,REPH,long,0.7273914505226882,rebalance_exit
2019-06-28,PTVCA,long,-0.14859377609702884,rebalance_exit
2019-06-28,PMBC,long,0.07892682512770044,rebalance_exit
2019-06-28,AYR,long,0.06409406478550972,rebalance_exit
2019-06-28,MCF,long,-0.45169662322421233,rebalance_exit
2019-06-28,LLEXQ,long,-0.5007716203196724,rebalance_exit
2019-06-28,RNET,long,0.009018709285247839,rebalance_exit
2019-06-28,CXDC,long,-0.14330766269159012,rebalance_exit
2019-06-28,PTVCB,long,-0.06215356135792949,rebalance_exit
2019-06-28,SCTL,long,0.7273914505226882,rebalance_exit
2019-09-30,SHLO,long,-0.5371128590528162,rebalance_exit
2019-09-30,CONN,long,-0.2657549736605782,rebalance_exit
2019-09-30,GPOR_old,long,-0.7399837698767087,rebalance_exit
2019-09-30,GPORQ,long,-0.7399837698767087,rebalance_exit
2019-09-30,ACBI,long,-0.029806755444997224,rebalance_exit
2019-09-30,SMTA,long,0.33119485513840186,rebalance_exit
2019-09-30,PJC,long,0.037791031366045,rebalance_exit
2019-09-30,CHAP,long,-0.7716799625832913,rebalance_exit
2019-09-30,CHAPQ,long,-0.7716799625832913,rebalance_exit
2019-09-30,CMO,long,-0.12062974457437559,rebalance_exit
2019-09-30,IO,long,0.08674681814062368,rebalance_exit
2019-09-30,HIBB,long,0.24971991072678978,rebalance_exit
2019-09-30,MIK,long,0.09877162926648997,rebalance_exit
2019-09-30,TAST,long,-0.096834952132003,rebalance_exit
2019-09-30,HMHC,long,-0.0871769315052554,rebalance_exit
2019-09-30,SPNX,long,-0.9028089843560079,rebalance_exit
2019-09-30,IOGPQ,long,0.08674681814062368,rebalance_exit
2019-09-30,HOME,long,0.42859095686353665,rebalance_exit
2019-12-31,UNTCQ,long,-0.9744598343248801,rebalance_exit
2019-12-31,UNT,long,-0.9744598343248801,rebalance_exit
2019-12-31,CRZO,long,-0.3187168747727025,rebalance_exit
2019-12-31,SGMS,long,0.48828010379832376,rebalance_exit
2019-12-31,AKRX,long,-0.5709403791746267,rebalance_exit
2019-12-31,AKRXQ,long,-0.5709403791746267,rebalance_exit
2019-12-31,LNW,long,0.48828010379832376,rebalance_exit
2019-12-31,PME,long,-0.4771492040647889,rebalance_exit
2019-12-31,PBPB,long,-0.5119575289267274,rebalance_exit
2019-12-31,AIW,long,0.02972365401756427,rebalance_exit
2019-12-31,TTS,long,-0.6618099345502277,rebalance_exit
2019-12-31,AVDL,long,1.5754017547164687,rebalance_exit
2019-12-31,ROAN,long,-0.12857600168021033,rebalance_exit
2019-12-31,TUPBQ,long,-0.5454978475628067,rebalance_exit
2019-12-31,TUP,long,-0.5455472689066736,rebalance_exit
2019-12-31,MRC,long,0.10596899498816614,rebalance_exit
2019-12-31,USM,long,-0.011299424374029976,rebalance_exit
2019-12-31,VSI,long,-0.0032593508596726606,rebalance_exit
2020-03-31,CHS,long,-0.828836472707701,rebalance_exit
2020-03-31,AKS,long,-0.7222417355999295,rebalance_exit
2020-03-31,HOUS,long,-0.7881102344284661,rebalance_exit
2020-03-31,QEP,long,-0.9405570923141937,rebalance_exit
2020-03-31,MEET,long,0.16236737375652588,rebalance_exit
2020-03-31,OAS,long,-0.9424461841334792,rebalance_exit
2020-03-31,OMN,long,0.4435843005013471,rebalance_exit
2020-03-31,CURO,long,-0.47702825476482247,rebalance_exit
2020-03-31,RZA,long,-0.08345071133218618,rebalance_exit
2020-03-31,ANH,long,-0.7042630973395301,rebalance_exit
2020-03-31,CUROQ,long,-0.47908429105479755,rebalance_exit
2020-03-31,DPLO,long,-0.311531834871865,rebalance_exit
2020-03-31,MR,long,-0.8503989357907694,rebalance_exit
2020-03-31,RFP,long,-0.8463558111410641,rebalance_exit
2020-03-31,SWN,long,-0.47313215540006015,rebalance_exit
2020-03-31,CVIA,long,-0.7218380839358884,rebalance_exit
2020-03-31,MDR,long,-0.6563398105172087,rebalance_exit
2020-03-31,CELP,long,-0.4845199837857186,rebalance_exit
2020-03-31,OASPQ,long,-0.9013165645543245,rebalance_exit
2020-03-31,SBOW,long,-0.749003200903286,rebalance_exit
2020-03-31,MCF,long,-0.49691292283123367,rebalance_exit
2020-03-31,PDCE,long,-0.776216506468224,rebalance_exit
2020-03-31,AAWW,long,0.0038423783843770654,rebalance_exit
2020-03-31,RCB,long,-0.4183481268812649,rebalance_exit
2020-03-31,RCP,long,-0.27554775980174395,rebalance_exit
2020-03-31,FTMR,long,-0.4611324632695689,rebalance_exit
2020-03-31,HALC,long,-0.6713613003770353,rebalance_exit
2020-03-31,OSTBP,long,-0.09091240676235113,rebalance_exit
2020-03-31,PRTYQ,long,-0.8042734952603098,rebalance_exit
2020-03-31,SLCA,long,-0.7039667965510503,rebalance_exit
2020-03-31,TAST,long,-0.746396376154213,rebalance_exit
2020-03-31,PRTY,long,-0.8041452943251994,rebalance_exit
2020-03-31,OSTK,long,-0.30829868250547365,rebalance_exit
2020-03-31,FTMRQ,long,-0.45983384758974133,rebalance_exit
2020-03-31,RNET,long,-0.7272727305567298,rebalance_exit
2020-03-31,BYON,long,-0.30829868250547365,rebalance_exit
2020-06-30,PTVCA,long,0.04380060534740804,rebalance_exit
2020-06-30,PTVCB,long,-0.12306669044289409,rebalance_exit
2020-06-30,DLPH,long,0.047967918025067835,rebalance_exit
2020-06-30,HOME,long,0.16587806830961105,rebalance_exit
2020-06-30,HIBB,long,0.8911802479411766,rebalance_exit
2020-06-30,WPX,long,1.0646030704187792,rebalance_exit
2020-06-30,PRTNQ,long,1.4063512682881365,rebalance_exit
2020-06-30,ETRN,long,0.6786096902293139,rebalance_exit
2020-06-30,PRETM,long,2.274676835468203,rebalance_exit
2020-06-30,XON,long,-0.20000001402462197,rebalance_exit
2020-06-30,PRETL,long,2.106444800569579,rebalance_exit
2020-06-30,TRTN,long,0.17262926349362995,rebalance_exit
2020-06-30,XEC,long,0.6395395191061222,rebalance_exit
2020-06-30,APY,long,0.6101534322456785,rebalance_exit
2020-06-30,COWN,long,0.6831791207151503,rebalance_exit
2020-06-30,WTRE_old,long,0.1315682609884743,rebalance_exit
2020-06-30,NGHC,long,0.3088370936569744,rebalance_exit
2020-06-30,MSRTD,long,1.0,rebalance_exit
2020-06-30,BRTXD,long,-0.5000000000000009,rebalance_exit
2020-06-30,OMI,long,-0.17796409444408234,rebalance_exit
2020-06-30,CHX,long,0.6101427178140777,rebalance_exit
2020-06-30,PRTMQ,long,2.274676835468203,rebalance_exit
2020-06-30,CIT,long,0.19016884265815892,rebalance_exit
2020-09-30,EXTN,long,-0.8343314837349474,rebalance_exit
2020-09-30,IMPHP,long,-0.35,rebalance_exit
2020-09-30,CMO,long,0.405411799642059,rebalance_exit
2020-09-30,GCAP,long,0.08698007568938126,rebalance_exit
2020-09-30,FRGI,long,1.2855431111667155,rebalance_exit
2020-09-30,GTT,long,-0.3818739482671617,rebalance_exit
2020-09-30,AAIC,long,-0.05517239362123749,rebalance_exit
2020-09-30,REPH,long,-0.5446000944386653,rebalance_exit
2020-09-30,TAST,long,0.3168887357386059,rebalance_exit
2020-09-30,PROS,long,0.24838241545169226,rebalance_exit
2020-09-30,AI_old1,long,-0.05345176558704512,rebalance_exit
2020-09-30,FFIC,long,-0.07774081826714674,rebalance_exit
2020-09-30,DNR,long,-0.12712789491880672,rebalance_exit
2020-09-30,SCTL,long,-0.5445923538905173,rebalance_exit
2020-09-30,GTXMQ,long,-0.39206864225264515,rebalance_exit
2020-09-30,TUPBQ,long,3.1508022212872566,rebalance_exit
2020-09-30,TUP,long,3.1508022212872566,rebalance_exit
2020-12-31,COMM,long,0.47271036394675225,rebalance_exit
2020-12-31,WDR,long,1.3208620120538814,rebalance_exit
2020-12-31,SAVEQ,long,0.3666380919479655,rebalance_exit
2020-12-31,SAVE,long,0.36663510301570423,rebalance_exit
2020-12-31,PDCE,long,0.628318568771866,rebalance_exit
2020-12-31,AGS,long,1.0432049907703278,rebalance_exit
2020-12-31,BPYU,long,0.2439865911995287,rebalance_exit
2020-12-31,PRTNQ,long,1.0084120409957174,rebalance_exit
2020-12-31,PRETM,long,1.2637362107607575,rebalance_exit
2020-12-31,MCF,long,0.6319003140263317,rebalance_exit
2020-12-31,PRETL,long,0.9810938254407153,rebalance_exit
2020-12-31,ECA,long,-0.09004962938191907,rebalance_exit
2020-12-31,BPYUP,long,0.23634947034144416,rebalance_exit
2020-12-31,JWN,long,1.5964237424962615,rebalance_exit
2020-12-31,PRTMQ,long,1.2637362107607575,rebalance_exit
2020-12-31,CIT,long,1.0414278553717442,rebalance_exit
2021-03-31,RVLP,long,-0.11367889517710827,rebalance_exit
2021-03-31,ACBI,long,0.9919489458444108,rebalance_exit
2021-03-31,BHLB,long,0.5582171969345935,rebalance_exit
2021-03-31,TPRE,long,0.370182301122874,rebalance_exit
2021-03-31,UFS,long,0.7248865489370411,rebalance_exit
2021-03-31,KRA,long,3.2783529339921325,rebalance_exit
2021-03-31,GTS,long,0.834964616281334,rebalance_exit
2021-03-31,VRS,long,0.6531259849331799,rebalance_exit
2021-03-31,NEX,long,0.4497696505752795,rebalance_exit
2021-03-31,SNR,long,0.7607305790991181,rebalance_exit
2021-03-31,ANH,long,0.8415647052549995,rebalance_exit
