date,ticker
2010-01-04,CNR_old2
2010-01-04,CNVR
2010-01-04,CNVR
2010-01-04,CNXT1
2010-01-04,CNXT1
2010-01-04,CNYD
2010-01-04,CNYD
2010-01-04,COCO_old
2010-01-04,CONN
2010-01-04,CONN
2010-01-04,CORV
2010-01-04,COSI
2010-01-04,COSI
2010-01-04,CPAH
2010-01-04,CPAH
2010-01-04,CPAH
2010-01-04,CPAH
2010-01-04,CPICQ
2010-01-04,CPICQ
2010-01-04,CPICQ
2010-01-04,CPICQ
2010-01-04,CPICQ
2010-01-04,CPICQ
2010-01-04,CPICQ
2010-01-04,CPLA
2010-01-04,COWN
2010-01-04,CPLP
2010-01-04,CPNO
2010-01-04,CPNO
2010-01-04,CPSL_old
2010-01-04,CPSL_old
2010-01-04,CPTS
2010-01-04,CRDN
2010-01-04,CRDSQ
2010-01-04,CRED1
2010-01-04,CRRS
2010-01-04,CRRS
2010-01-04,CRRS
2010-01-04,CRRS
2010-01-04,CRRS
2010-01-04,CRRSQ
2010-01-04,CRRSQ
2010-01-04,CRRSQ
2010-01-04,CRRSQ
2010-01-04,CRRSQ
2010-01-04,CRTX1
2010-01-04,CRTX1
2010-01-04,CRTX1
2010-01-04,CRTX1
2010-01-04,CRTX1
2010-01-04,CRTX1
2010-01-04,CRTX1
2010-01-04,CRWN
2010-01-04,CRWN
2010-01-04,CRWN
2010-01-04,CRWN
2010-01-04,CSA1
2010-01-04,CSCD
2010-01-04,CRY_old
2010-01-04,CRY_old
2010-01-04,CSE
2010-01-04,CSHZ
2010-01-04,CSHZ
2010-01-04,CSHZ
2010-01-04,CSHZ
2010-01-04,CSKI
2010-01-04,CSKI
2010-01-04,CSS
2010-01-04,CSFL
2010-01-04,CSII
2010-01-04,CTCM
2010-01-04,CTCM
2010-01-04,CSU
2010-01-04,CSU
2010-01-04,CSU
2010-01-04,CSU
2010-01-04,CTFO
2010-01-04,CTFO
2010-01-04,CTFO
2010-01-04,CTRC
2010-01-04,CTRC
2010-01-04,CTRC
2010-01-04,CTRC
2010-01-04,CTRC
2010-01-04,CTRC
2010-01-04,CTRC
2010-01-04,CTRC
2010-01-04,CTRCQ
2010-01-04,CTRCQ
2010-01-04,CTRCQ
2010-01-04,CTRCQ
2010-01-04,CTRCQ
2010-01-04,CTRCQ
2010-01-04,CTRCQ
2010-01-04,CTRCQ
2010-01-04,CTG
2010-01-04,CTG
2010-01-04,CTG
2010-01-04,CTG
2010-01-04,CTRP
2010-01-04,CTRP
2010-01-04,CTV1
2010-01-04,CV_old
2010-01-04,CV_old
