date,net_beta_dollar
2014-03-24,193965.53589690104
2014-03-25,329153.705584351
2014-03-26,422930.5684471261
2014-03-27,575768.5038208403
2014-03-28,666050.2582745794
2014-03-31,-2529762.5165900197
2014-04-01,-2685961.0904733753
2014-04-02,-2595180.491946645
2014-04-03,-2497076.5477025043
2014-04-04,-2436717.2767923325
2014-04-07,-2331125.597632557
2014-04-08,-2446911.600536146
2014-04-09,-2672568.143281278
2014-04-10,-2652452.999578436
2014-04-11,-2802966.729659361
2014-04-14,-2901403.8330119643
2014-04-15,-2666163.3734834073
2014-04-16,-2762701.6415357823
2014-04-17,-2849613.908084886
2014-04-21,-2972500.789433345
2014-04-22,-3353018.3436033633
2014-04-23,-3425585.4244141346
2014-04-24,-3416998.271208345
2014-04-25,-3144002.2151455795
2014-04-28,-3192853.206965695
2014-04-29,-3248838.6917154966
2014-04-30,-3404876.320748928
2014-05-01,-3263957.453353161
2014-05-02,-3170733.543203867
2014-05-05,-3241211.6713647265
2014-05-06,-3124164.861817955
2014-05-07,-2775384.2134721745
2014-05-08,-2629399.2958020717
2014-05-09,-2740299.0113622984
2014-05-12,-2921521.8298089467
2014-05-13,-2998235.0941039193
2014-05-14,-3020174.692373529
2014-05-15,-2827022.0751157543
2014-05-16,-2935469.106125582
2014-05-19,-2999581.5474749235
2014-05-20,-2936916.237523119
2014-05-21,-2846975.5703123417
2014-05-22,-2879355.631065557
2014-05-23,-3058000.780910638
2014-05-27,-3203512.147316453
2014-05-28,-3240487.7788078357
2014-05-29,-3260596.6093017533
2014-05-30,-3117813.7021938525
2014-06-02,-3101000.3794730743
2014-06-03,-3039151.3300398877
2014-06-04,-3069976.4100023936
2014-06-05,-3248163.171812161
2014-06-06,-3315977.8414218025
2014-06-09,-3191318.135742545
