date,ticker,price,entry_price
2017-10-02,TLRA,4.29,2.0999999046325684
2017-10-18,GLUU,4.34,2.2888853135864666
2017-10-18,SPAR,15.6474,7.794343036806939
2017-10-18,SHYF,14.9189,7.431467511752042
2017-10-24,EXAC,41.85,19.979999542236328
2017-10-27,EWLUD,1.5,0.75
2017-11-16,GOPHD,62.0,32.0
2017-11-21,ESIO,26.11,12.481542449968943
2017-11-22,CTRL,34.78,17.31999969482422
2017-12-12,TLRD,17.1788,9.008399963378906
2017-12-14,TOGLD,1.7,0.6959999799728394
2017-12-18,TFVRD,72.0,35.52000045776367
2017-12-19,NTVA,2.99,1.2200000286102295
2017-12-19,RST,12.9,6.690000057220459
2017-12-20,BOBE,78.15,39.201088746690374
2017-12-21,TLRDQ,22.35,10.619999885559082
2017-12-22,CVRR,12.8453,6.222799777984619
2018-01-03,XENT,34.35,16.499235411015434
2018-01-04,HWGC,12.2,6.0
2018-01-04,GRMMD,19.2,9.60000038146973
2018-01-04,VXELD,12.2,6.0
2018-01-04,MJNE,5.77,3.950000047683716
2018-01-19,RTW,3.5,1.559999942779541
2018-01-19,NWY,3.5,1.559999942779541
2018-01-22,BHLLD,866.6009,426.9303894042969
2018-01-22,RFP,9.4361,4.549699783325195
2018-01-23,HIBB,24.2322,12.163599967956543
2018-01-30,ABLX,54.0,24.989999771118164
2018-02-06,SMPRD,4.5,2.5
2018-02-16,POETD,4.2,1.7000000476837158
2018-02-20,TESS,20.9085,10.50253971238066
2018-03-09,IHC,29.7539,14.303299903869629
2018-03-13,GTHX,38.73,17.440000534057617
2018-03-14,PYX,28.75,13.007386919356936
2018-03-14,AOI,28.75,13.007386919356936
2018-03-21,ASNS_old,25.53,12.96184506437212
2018-03-27,NEUL,0.816,0.4099999964237213
2018-03-27,NEWA,20.86,9.636478971277803
2018-03-29,CLUB_old,7.6,3.9115313938560594
2018-03-29,CLUBQ,7.6,3.9115313938560594
2018-04-04,SSOKD,47.2,10.100000381469728
2018-04-04,NVOSD,6.5,3.0199999809265137
2018-04-12,ASDND,9.15,3.8905443757463654
2018-04-17,XCRA,12.89,6.096766204058407
2018-04-17,TPCA,70.2,32.0
2018-04-19,MODV,75.1846,37.71981743404629
2018-04-19,PRSC,75.1846,37.71981743404629
2018-04-25,SESN,806.1952,375.7677700162509
2018-04-25,HSII,32.9024,16.411455071477622
2018-05-03,DTSSD,16.6,5.860000133514404
2018-05-04,URSL,288.8,104.5
2018-05-07,CORVF,2.4326,1.162134678471103
2018-05-09,EPAY,44.35,21.573497959504486
2018-05-30,ATV,7.6625,4.368800163269043
2018-05-31,MCBC,9.918,4.917399883270264
2018-06-12,FLUXD,16.4,5.300000190734863
2018-06-15,SRDX,55.2,28.49040749098433
2018-06-18,LIVX,8.68,4.078653042012585
2018-06-21,BLMT,35.4,17.201398241431495
2018-07-18,LMNX_old,32.1695,15.416799545288086
2018-07-23,CUROQ,28.53,14.147823691321136
2018-07-23,CURO,26.2201,13.002331933311904
2018-07-30,ESND,16.0298,7.5379878555237765
2018-07-31,PGTI,24.0,11.98983484003531
2018-08-08,WINS,93.05,44.79999923706055
2018-08-09,VSI,10.95,4.349999904632568
2018-08-15,ASNA,93.6,47.3963060557705
2018-08-15,ASNAQ,93.6,47.3963060557705
2018-08-20,SSOKD,17.3,7.599999904632568
2018-08-21,REGI,25.05,11.907938456668449
2018-08-22,MODG,22.5003,11.31029987335205
2018-09-05,LINDW,4.42,2.2100000381469727
2018-09-07,EXDID,49.2804,19.936199188232422
2018-09-10,CVGW,91.2401,45.33359909057617
2018-09-24,OASMY,2.5267,1.0894470580908613
2018-10-02,DZSI,15.15,7.150000095367432
2018-10-04,ADES,10.5198,5.341266254893321
2018-10-16,FPTAD,12239.76,5039.89794921875
2018-10-16,GMVPD,31.9396,13.900398026422202
2018-11-13,EWLUD,1.8,0.6899999976158142
2018-12-04,BNFT,50.04,25.34401866016296
2018-12-12,VRUSD,1.8,0.8500000238418579
2019-01-16,CXUS,68.769,35.57544682387512
2019-02-05,VFFIF,6.7,3.297686244888126
2019-02-07,ZIXI,7.68,3.8653921572566805
2019-02-08,PCMI,30.08,12.995651307398992
2019-02-11,DRVD,2.5,0.916700005531311
2019-02-12,VYSTD,13.29,4.150000095367432
2019-02-19,DBD_old,8.51,3.9328678584413552
2019-02-19,DBDQQ,8.51,3.9328678584413552
2019-02-19,SKYS,3.2,1.3270591306855806
2019-02-25,SMLR,41.0,20.239999771118164
2019-03-05,JRJC,19.5,9.14518904117141
2019-03-05,JMU,5.26,1.5443509439436294
2019-03-05,JRJCY,19.5,9.14518904117141
2019-03-06,HLIX,2.509,1.4486569674129834
2019-03-15,EXDID,49.0004,23.14602837181069
2019-03-18,INS,29.79,14.186229915817341
2019-03-18,CCRD,29.79,14.186229915817341
2019-03-20,CATS,82.62,42.14289201168689
2019-03-20,RLM,4.2499,1.850000023841858
2019-04-02,LBSRD,0.8,0.15000000596046448
2019-04-18,NEW,131.4,59.099998474121094
2019-04-18,URSL,15.2,8.488699913024902
2019-04-22,MMMMD,1900.0,1250.0
2019-05-01,URSLD,38.665,12.350000381469727
2019-05-13,AIXN,12.2,2.0
2019-05-15,AXNX,31.73,15.466141457101147
2019-05-17,TFVRD,5.4,3.908955564078142
2019-05-30,SOLY,18.7,8.100000381469727
2019-06-11,PRVB,12.05,4.021484617933006
2019-06-18,QSAMD,50.0,22.0
2019-06-20,AVP,3.969,1.9545999765396118
2019-07-08,CHUCD,1.4,1.100000023841858
2019-07-09,MJCO,10.13,4.929999828338623
2019-07-15,BIOS_old,19.55,9.3379324372795
2019-07-26,ORIT,17.5606,8.690899848937988
2019-08-08,ALLK,83.81,40.55619447885275
2019-08-09,FBM,18.72,9.642401265506
2019-08-20,EIDX,45.0,20.519364002573234
2019-08-26,CEADD,16.1242,8.069600105285645
2019-09-05,FDBLD,0.12,0.030300000682473183
2019-09-12,RHNO,0.9619,0.4002000093460083
2019-09-17,WINS,20.0,13.5
2019-09-23,VFRMD,4.0,1.5369116201375046
2019-09-26,FBNK,12.8,6.019999980926514
2019-10-03,FLESD,160.0,80.00000000000001
2019-10-16,NINK,1.5,0.47999998927116394
